SN,Product Name,Image Link,Photo,"Product label
(3-5 Characters)",Category Name,Processes,"Weight 
(gm)","Cost Price
(Nrs)",HS CODE,Description,"Variations
Color Code",Tags,Product Image,"Product_image
(Drive Link)",Attributes,Additional Category,Occassion,Type,stock
11,7cm Avocado with Seeds,https://www.feltandyarn.com/9447-large_default/7cm-felt-avocado-with-seeds.jpg,,AVOCA,--- Holiday & Seasonal Shapes,"Wet Felting, Needling",25.00,,5602.10.00,"It has the shape of halved avocado, complete with the bright, ligher green inner and darker green outer skin. A rounded brown pit is securely integrated into the center.",,,https://www.feltandyarn.com/thanks-giving/1959-16457-7cm-felt-avocado-with-seeds.html#/390-package-20_pieces,https://drive.google.com/drive/folders/1PYzO1UXu6jLUVX7vI3uqEz1HMYNKsmjx?usp=drive_link,,"""--- Food, Fruit & Veggies""",Thanks Giving,"Craft, Decor",
12,6cm Cake Slices,https://www.feltandyarn.com/11041-large_default/6cm-felt-sheet-cake-slices.jpg,,CAKE,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Stitching",13.00,,5602.10.00,"The design of each piece mimics a layered chocolate cake with a dollop of white frosting and a red cherry on top. The red cherry is a small, solid red sphere, with tiny stem.",,,https://www.feltandyarn.com/thanks-giving/2266-23620-6cm-felt-sheet-cake-slices.html#/1661-design-rectangle_cake,https://drive.google.com/drive/folders/19BodDETLAQgOPnnzoCiljQepByYuRFv9?usp=drive_link,,"""--- Food, Fruit & Veggies""",Thanks Giving,"Craft, Decor",
13,10cm Harvested Baby Corn,,,BABYC,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Sewing",16.00,,5602.10.00,"The harvested corn is crafted with the soft felt using needle felting technique. The design featues a yellow corn kernel section with scattered orange dot representing each kernel, all framed by the green felt husk that partially wraps around the sides.",,,https://www.feltandyarn.com/thanks-giving/1306-14236-harvested-baby-corn.html#/389-package-15_pieces,,,,Thanks Giving,"Craft, Decor",
14,7cm Avocado ,,,7AVOC,--- Holiday & Seasonal Shapes,"Wet Felting, Needling",24.00,,5602.10.00,"The avocado set is the pair of avocado halves crafted with soft green wool.  Each piece is designed in avocado half, featuring a lime green inner flesh with dark green outside. One half has a empty circular part where the seed should be and another half has the dark brown seed. Both halves has the black needed eyes and black smiling mouth. It is about 7cm in length.",,,https://www.feltandyarn.com/thanks-giving/1885-34577-7cm-felt-avocado-set.html#/2067-package-10_sets,,,,Thanks Giving,"Craft, Decor",
15,12cm Bear,,,BEAR,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Sewing",20.00,,5602.10.00,"The main body is wet felted. A lighter, off white oval patch on the belly, a black, nose, a round eyes and ears. ",,,https://www.feltandyarn.com/valentines-day/1498-16706-12cm-fluffy-felt-teddy-bear.html#/1140-craft_supplies_design-b01,https://drive.google.com/drive/folders/1TyBaYhy3iNkeQpV3gAFtKpUFDrCm0wQP?usp=drive_link,bear color,,Valentines Day,"Craft, Decor",
16,5cm Callout,https://www.feltandyarn.com/10418-large_default/5cm-wool-felt-callout.jpg,,CALOT,--- Holiday & Seasonal Shapes,"Wet Felting, Needling",,,5602.10.00,The base is wet felted. It is shaped as the conversation bubble with the triangular point at the buttom.,,,https://www.feltandyarn.com/valentines-day/2192-31378-5cm-wool-felt-callout.html#/1918-text-xoxo,https://drive.google.com/drive/folders/1yYHwFcjvAwTjtiL_m01XiSfqWrcBJ6bY?usp=drive_link,,,Valentines Day,"Craft, Decor",
17,10cm Couple,https://www.feltandyarn.com/10456-large_default/10cm-felt-valentines-couple.jpg,,COPLE,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Stitching",10.00,,5602.10.00,"The figures are styled as a groom in a dark suit and a bride in a white dress decorated with pink stitched accents, holding a small pink flower",,,https://www.feltandyarn.com/valentines-day/2197-21304-10cm-felt-valentines-couple.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1O8rtE7RK9DIy7lS1JEVFLN6IjPNMtwew?usp=drive_link,,,Valentines Day,"Craft, Decor",
18,5-6cm Cupcake,,,CPCKE,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Stitching",2.00,,5602.10.00,Cupcake featues the teal felt base with stitched white stripes and a cream-colored label decorated with two tiny pink embroidered hearts. The top is a fluffy swril of bright pink felt frosting.,,,https://www.feltandyarn.com/valentines-day/2191-23332-5-6cm-love-cupcake.html#/389-package-15_pieces/1622-select_your_choice-stuffed_cupcake,https://drive.google.com/drive/folders/1hl51L-q118k98pVQoRNYx6269SVUxS2P?usp=drive_link,,,Valentines Day,"Craft, Decor",
19,5.5cm Roses,https://www.feltandyarn.com/10388-large_default/55cm-felt-valentines-roses.jpg,,ROSE,--- Holiday & Seasonal Shapes,Wet Felting,7.00,,5602.10.00,Roses are crafted with the soft wet felted wool. It beautifully layered the petals to resemble as blossoms. ,,,https://www.feltandyarn.com/valentines-day/2190-21251-55cm-felt-valentines-roses.html#/391-package-25_pieces,https://drive.google.com/drive/folders/1Ern1bBN0gdwfQa2QCs1vsfdmXQiobp6O?usp=drive_link,flower color,,Valentines Day,"Craft, Decor",
20,4cm Love Notes,https://www.feltandyarn.com/12105-large_default/4cm-cute-felted-valentines-love-notes.jpg,,LNOTE,--- Holiday & Seasonal Shapes,"Wet Felting, Needling, Stitching",5.00,,5602.10.00,"It features the set of love letters and messages, designed with charming details in red and white. The main base primarily wet felted with the white wool. It has the red stitched around the edges.",,,https://www.feltandyarn.com/valentines-day/2350-24169-4cm-cute-felted-valentines-love-notes.html#/1721-craft_supplies_design-love_envelope,https://drive.google.com/drive/folders/1lJKcesvljwo4tN-yifysGQRageYZm6AQ?usp=drive_link,Design,,Valentines Day,"Craft, Decor",
21,4-5cm Conversation Hear,https://www.feltandyarn.com/10428-large_default/4-5cm-felt-conversation-hearts.jpg,,CNVHRT,--- Holiday & Seasonal Shapes,"Wet Felting, Needling",4.00,,5602.10.00,The base is crafted with soft wool. It has the shape of the heart. It featues the white needled conversation on the top.,,,https://www.feltandyarn.com/heart-stars-rainbows/2193-31396-4-5cm-felt-conversation-hearts.html#/1918-text-xoxo,https://drive.google.com/drive/folders/1dTBe6VrDIOqGnxl8ZTqqzl5aTSNtl8k0?usp=drive_link,Base color,,Valentines Day,"Craft, Decor",
22,5cm Love Potion,https://www.feltandyarn.com/10452-large_default/5cm-valentine-love-potion.jpg,,LPOT,--- Holiday & Seasonal Shapes,"Wet Felting, Stitching",6.00,,5602.10.00,"The heart shaped potion bottle constructed with the layered felt and visible stitching. The bottle has a peach color and a rounded, heart shape on the main body, topped with the small neck and tiny tan cork secured with stitching. The design focuses on the bottle featuring two hearts, a pink outer heart and smaller darker pink heart. The length is 5cm and breadth is 5cm.",,,https://www.feltandyarn.com/valentines-day/2196-21300-5cm-valentine-love-potion.html#/389-package-15_pieces,,,,Valentines Day,"Craft, Decor",
23,,,,,,,,,5602.10.00,,,,,,,,,,
24,,,,,,,,,5602.10.00,,,,,,,,,,
25,,,,,,,,,5602.10.00,,,,,,,,,,
26,,,,,,,,,5602.10.00,,,,,,,,,,
27,,,,,,,,,5602.10.00,,,,,,,,,,
28,,,,,,,,,5602.10.00,,,,,,,,,,
29,,,,,,,,,5602.10.00,,,,,,,,,,
30,,,,,,,,,5602.10.00,,,,,,,,,,
31,,,,,,,,,5602.10.00,,,,,,,,,,
32,,,,,,,,,5602.10.00,,,,,,,,,,
33,,,,,,,,,5602.10.00,,,,,,,,,,
34,,,,,,,,,5602.10.00,,,,,,,,,,
35,,,,,,,,,5602.10.00,,,,,,,,,,
36,,,,,,,,,5602.10.00,,,,,,,,,,
37,,,,,,,,,5602.10.00,,,,,,,,,,
38,,,,,,,,,5602.10.00,,,,,,,,,,
39,,,,,,,,,5602.10.00,,,,,,,,,,
40,,,,,,,,,5602.10.00,,,,,,,,,,
41,,,,,,,,,5602.10.00,,,,,,,,,,
42,,,,,,,,,5602.10.00,,,,,,,,,,
43,,,,,,,,,5602.10.00,,,,,,,,,,
44,,,,,,,,,5602.10.00,,,,,,,,,,
45,,,,,,,,,5602.10.00,,,,,,,,,,
46,,,,,,,,,5602.10.00,,,,,,,,,,
47,,,,,,,,,5602.10.00,,,,,,,,,,
48,,,,,,,,,5602.10.00,,,,,,,,,,
49,,,,,,,,,5602.10.00,,,,,,,,,,
50,,,,,,,,,5602.10.00,,,,,,,,,,
51,,,,,,,,,5602.10.00,,,,,,,,,,
52,,,,,,,,,5602.10.00,,,,,,,,,,
53,,,,,,,,,5602.10.00,,,,,,,,,,
54,,,,,,,,,5602.10.00,,,,,,,,,,
55,,,,,,,,,5602.10.00,,,,,,,,,,
56,,,,,,,,,5602.10.00,,,,,,,,,,
57,,,,,,,,,5602.10.00,,,,,,,,,,
58,,,,,,,,,5602.10.00,,,,,,,,,,
59,,,,,,,,,5602.10.00,,,,,,,,,,
60,,,,,,,,,5602.10.00,,,,,,,,,,
61,,,,,,,,,5602.10.00,,,,,,,,,,
62,,,,,,,,,5602.10.00,,,,,,,,,,
63,,,,,,,,,5602.10.00,,,,,,,,,,
64,,,,,,,,,5602.10.00,,,,,,,,,,
65,,,,,,,,,5602.10.00,,,,,,,,,,
66,,,,,,,,,5602.10.00,,,,,,,,,,
67,,,,,,,,,5602.10.00,,,,,,,,,,
68,,,,,,,,,5602.10.00,,,,,,,,,,
69,,,,,,,,,5602.10.00,,,,,,,,,,
70,,,,,,,,,5602.10.00,,,,,,,,,,
71,,,,,,,,,5602.10.00,,,,,,,,,,
72,,,,,,,,,5602.10.00,,,,,,,,,,
73,,,,,,,,,5602.10.00,,,,,,,,,,
74,,,,,,,,,5602.10.00,,,,,,,,,,
75,,,,,,,,,5602.10.00,,,,,,,,,,
76,,,,,,,,,5602.10.00,,,,,,,,,,
77,,,,,,,,,5602.10.00,,,,,,,,,,
78,,,,,,,,,5602.10.00,,,,,,,,,,
79,,,,,,,,,5602.10.00,,,,,,,,,,
80,,,,,,,,,5602.10.00,,,,,,,,,,
81,,,,,,,,,5602.10.00,,,,,,,,,,
82,,,,,,,,,5602.10.00,,,,,,,,,,
83,,,,,,,,,5602.10.00,,,,,,,,,,
84,,,,,,,,,5602.10.00,,,,,,,,,,
85,,,,,,,,,5602.10.00,,,,,,,,,,
86,,,,,,,,,5602.10.00,,,,,,,,,,
87,,,,,,,,,5602.10.00,,,,,,,,,,
88,,,,,,,,,5602.10.00,,,,,,,,,,
89,,,,,,,,,5602.10.00,,,,,,,,,,
90,,,,,,,,,5602.10.00,,,,,,,,,,
91,,,,,,,,,5602.10.00,,,,,,,,,,
92,,,,,,,,,5602.10.00,,,,,,,,,,
93,,,,,,,,,5602.10.00,,,,,,,,,,
94,,,,,,,,,5602.10.00,,,,,,,,,,
95,,,,,,,,,5602.10.00,,,,,,,,,,
96,,,,,,,,,5602.10.00,,,,,,,,,,
97,,,,,,,,,5602.10.00,,,,,,,,,,
98,,,,,,,,,5602.10.00,,,,,,,,,,
99,,,,,,,,,5602.10.00,,,,,,,,,,
100,,,,,,,,,5602.10.00,,,,,,,,,,
101,,,,,,,,,5602.10.00,,,,,,,,,,
102,,,,,,,,,5602.10.00,,,,,,,,,,
103,,,,,,,,,5602.10.00,,,,,,,,,,
104,,,,,,,,,5602.10.00,,,,,,,,,,
105,,,,,,,,,5602.10.00,,,,,,,,,,
106,,,,,,,,,5602.10.00,,,,,,,,,,
107,,,,,,,,,5602.10.00,,,,,,,,,,
108,,,,,,,,,5602.10.00,,,,,,,,,,
109,,,,,,,,,5602.10.00,,,,,,,,,,
110,,,,,,,,,5602.10.00,,,,,,,,,,
111,,,,,,,,,5602.10.00,,,,,,,,,,
112,,,,,,,,,5602.10.00,,,,,,,,,,
113,,,,,,,,,5602.10.00,,,,,,,,,,
114,,,,,,,,,5602.10.00,,,,,,,,,,
115,,,,,,,,,5602.10.00,,,,,,,,,,
116,,,,,,,,,5602.10.00,,,,,,,,,,
117,,,,,,,,,5602.10.00,,,,,,,,,,
118,,,,,,,,,5602.10.00,,,,,,,,,,
119,,,,,,,,,5602.10.00,,,,,,,,,,
120,,,,,,,,,5602.10.00,,,,,,,,,,
121,,,,,,,,,5602.10.00,,,,,,,,,,
122,,,,,,,,,5602.10.00,,,,,,,,,,
123,,,,,,,,,5602.10.00,,,,,,,,,,
124,,,,,,,,,5602.10.00,,,,,,,,,,
125,,,,,,,,,5602.10.00,,,,,,,,,,
126,,,,,,,,,5602.10.00,,,,,,,,,,
127,,,,,,,,,5602.10.00,,,,,,,,,,
128,,,,,,,,,5602.10.00,,,,,,,,,,
129,,,,,,,,,5602.10.00,,,,,,,,,,
130,,,,,,,,,5602.10.00,,,,,,,,,,
131,,,,,,,,,5602.10.00,,,,,,,,,,
132,,,,,,,,,5602.10.00,,,,,,,,,,
133,,,,,,,,,5602.10.00,,,,,,,,,,
134,,,,,,,,,5602.10.00,,,,,,,,,,
135,,,,,,,,,5602.10.00,,,,,,,,,,
136,,,,,,,,,5602.10.00,,,,,,,,,,
137,,,,,,,,,5602.10.00,,,,,,,,,,
138,,,,,,,,,5602.10.00,,,,,,,,,,
139,,,,,,,,,5602.10.00,,,,,,,,,,
140,,,,,,,,,5602.10.00,,,,,,,,,,
141,,,,,,,,,5602.10.00,,,,,,,,,,
142,,,,,,,,,5602.10.00,,,,,,,,,,
143,,,,,,,,,5602.10.00,,,,,,,,,,
144,,,,,,,,,5602.10.00,,,,,,,,,,
145,,,,,,,,,5602.10.00,,,,,,,,,,
146,,,,,,,,,5602.10.00,,,,,,,,,,
147,,,,,,,,,5602.10.00,,,,,,,,,,
148,,,,,,,,,5602.10.00,,,,,,,,,,
149,,,,,,,,,5602.10.00,,,,,,,,,,
150,,,,,,,,,5602.10.00,,,,,,,,,,
151,,,,,,,,,5602.10.00,,,,,,,,,,
152,,,,,,,,,5602.10.00,,,,,,,,,,
153,,,,,,,,,5602.10.00,,,,,,,,,,
154,,,,,,,,,5602.10.00,,,,,,,,,,
155,,,,,,,,,5602.10.00,,,,,,,,,,
156,,,,,,,,,5602.10.00,,,,,,,,,,
157,,,,,,,,,5602.10.00,,,,,,,,,,
158,,,,,,,,,5602.10.00,,,,,,,,,,
159,,,,,,,,,5602.10.00,,,,,,,,,,
160,,,,,,,,,5602.10.00,,,,,,,,,,
161,,,,,,,,,5602.10.00,,,,,,,,,,
162,,,,,,,,,5602.10.00,,,,,,,,,,
163,,,,,,,,,5602.10.00,,,,,,,,,,
164,,,,,,,,,5602.10.00,,,,,,,,,,
165,,,,,,,,,5602.10.00,,,,,,,,,,
166,,,,,,,,,5602.10.00,,,,,,,,,,
167,,,,,,,,,5602.10.00,,,,,,,,,,
168,,,,,,,,,5602.10.00,,,,,,,,,,
169,,,,,,,,,5602.10.00,,,,,,,,,,
170,,,,,,,,,5602.10.00,,,,,,,,,,
171,,,,,,,,,5602.10.00,,,,,,,,,,
172,,,,,,,,,5602.10.00,,,,,,,,,,
173,,,,,,,,,5602.10.00,,,,,,,,,,
174,,,,,,,,,5602.10.00,,,,,,,,,,
175,,,,,,,,,5602.10.00,,,,,,,,,,
176,,,,,,,,,5602.10.00,,,,,,,,,,
177,,,,,,,,,5602.10.00,,,,,,,,,,
178,,,,,,,,,5602.10.00,,,,,,,,,,
179,,,,,,,,,5602.10.00,,,,,,,,,,
180,,,,,,,,,5602.10.00,,,,,,,,,,
181,,,,,,,,,5602.10.00,,,,,,,,,,
182,,,,,,,,,5602.10.00,,,,,,,,,,
183,,,,,,,,,5602.10.00,,,,,,,,,,
184,,,,,,,,,5602.10.00,,,,,,,,,,
185,,,,,,,,,5602.10.00,,,,,,,,,,
186,,,,,,,,,5602.10.00,,,,,,,,,,
187,,,,,,,,,5602.10.00,,,,,,,,,,
188,,,,,,,,,5602.10.00,,,,,,,,,,
189,,,,,,,,,5602.10.00,,,,,,,,,,
190,,,,,,,,,5602.10.00,,,,,,,,,,
191,,,,,,,,,5602.10.00,,,,,,,,,,
192,,,,,,,,,5602.10.00,,,,,,,,,,
193,,,,,,,,,5602.10.00,,,,,,,,,,
194,,,,,,,,,5602.10.00,,,,,,,,,,
195,,,,,,,,,5602.10.00,,,,,,,,,,
196,,,,,,,,,5602.10.00,,,,,,,,,,
197,,,,,,,,,5602.10.00,,,,,,,,,,
198,,,,,,,,,5602.10.00,,,,,,,,,,
199,,,,,,,,,5602.10.00,,,,,,,,,,
200,,,,,,,,,5602.10.00,,,,,,,,,,
201,,,,,,,,,5602.10.00,,,,,,,,,,
202,,,,,,,,,5602.10.00,,,,,,,,,,
203,,,,,,,,,5602.10.00,,,,,,,,,,
204,,,,,,,,,5602.10.00,,,,,,,,,,
205,,,,,,,,,5602.10.00,,,,,,,,,,
206,,,,,,,,,5602.10.00,,,,,,,,,,
207,,,,,,,,,5602.10.00,,,,,,,,,,
208,,,,,,,,,5602.10.00,,,,,,,,,,
209,,,,,,,,,5602.10.00,,,,,,,,,,
210,,,,,,,,,5602.10.00,,,,,,,,,,
211,,,,,,,,,5602.10.00,,,,,,,,,,
212,,,,,,,,,5602.10.00,,,,,,,,,,
213,,,,,,,,,5602.10.00,,,,,,,,,,
214,,,,,,,,,5602.10.00,,,,,,,,,,
215,,,,,,,,,5602.10.00,,,,,,,,,,
216,,,,,,,,,5602.10.00,,,,,,,,,,
217,,,,,,,,,5602.10.00,,,,,,,,,,
218,,,,,,,,,5602.10.00,,,,,,,,,,
219,,,,,,,,,5602.10.00,,,,,,,,,,
220,,,,,,,,,5602.10.00,,,,,,,,,,
221,,,,,,,,,5602.10.00,,,,,,,,,,
222,,,,,,,,,5602.10.00,,,,,,,,,,
223,,,,,,,,,5602.10.00,,,,,,,,,,
224,,,,,,,,,5602.10.00,,,,,,,,,,
225,,,,,,,,,5602.10.00,,,,,,,,,,
226,,,,,,,,,5602.10.00,,,,,,,,,,
227,,,,,,,,,5602.10.00,,,,,,,,,,
228,,,,,,,,,5602.10.00,,,,,,,,,,
229,,,,,,,,,5602.10.00,,,,,,,,,,
230,,,,,,,,,5602.10.00,,,,,,,,,,
231,,,,,,,,,5602.10.00,,,,,,,,,,
232,,,,,,,,,5602.10.00,,,,,,,,,,
233,,,,,,,,,5602.10.00,,,,,,,,,,
234,,,,,,,,,5602.10.00,,,,,,,,,,
235,,,,,,,,,5602.10.00,,,,,,,,,,
236,,,,,,,,,5602.10.00,,,,,,,,,,
237,,,,,,,,,5602.10.00,,,,,,,,,,
238,,,,,,,,,5602.10.00,,,,,,,,,,
239,,,,,,,,,5602.10.00,,,,,,,,,,
240,,,,,,,,,5602.10.00,,,,,,,,,,
241,,,,,,,,,5602.10.00,,,,,,,,,,
242,,,,,,,,,5602.10.00,,,,,,,,,,
243,,,,,,,,,5602.10.00,,,,,,,,,,
244,,,,,,,,,5602.10.00,,,,,,,,,,
245,,,,,,,,,5602.10.00,,,,,,,,,,
246,,,,,,,,,5602.10.00,,,,,,,,,,
247,,,,,,,,,5602.10.00,,,,,,,,,,
248,,,,,,,,,5602.10.00,,,,,,,,,,
249,,,,,,,,,5602.10.00,,,,,,,,,,
250,,,,,,,,,5602.10.00,,,,,,,,,,
251,,,,,,,,,5602.10.00,,,,,,,,,,
252,,,,,,,,,5602.10.00,,,,,,,,,,
253,,,,,,,,,5602.10.00,,,,,,,,,,
254,,,,,,,,,5602.10.00,,,,,,,,,,
255,,,,,,,,,5602.10.00,,,,,,,,,,
256,,,,,,,,,5602.10.00,,,,,,,,,,
257,,,,,,,,,5602.10.00,,,,,,,,,,
258,,,,,,,,,5602.10.00,,,,,,,,,,
259,,,,,,,,,5602.10.00,,,,,,,,,,
260,,,,,,,,,5602.10.00,,,,,,,,,,
261,,,,,,,,,5602.10.00,,,,,,,,,,
262,,,,,,,,,5602.10.00,,,,,,,,,,
263,,,,,,,,,5602.10.00,,,,,,,,,,
264,,,,,,,,,5602.10.00,,,,,,,,,,
265,,,,,,,,,5602.10.00,,,,,,,,,,
266,,,,,,,,,5602.10.00,,,,,,,,,,
267,,,,,,,,,5602.10.00,,,,,,,,,,
268,,,,,,,,,5602.10.00,,,,,,,,,,
269,,,,,,,,,5602.10.00,,,,,,,,,,
270,,,,,,,,,5602.10.00,,,,,,,,,,
271,,,,,,,,,5602.10.00,,,,,,,,,,
272,,,,,,,,,5602.10.00,,,,,,,,,,
273,,,,,,,,,5602.10.00,,,,,,,,,,
274,,,,,,,,,5602.10.00,,,,,,,,,,
275,,,,,,,,,5602.10.00,,,,,,,,,,
276,,,,,,,,,5602.10.00,,,,,,,,,,
277,,,,,,,,,5602.10.00,,,,,,,,,,
278,,,,,,,,,5602.10.00,,,,,,,,,,
279,,,,,,,,,5602.10.00,,,,,,,,,,
280,,,,,,,,,5602.10.00,,,,,,,,,,
281,,,,,,,,,5602.10.00,,,,,,,,,,
282,,,,,,,,,5602.10.00,,,,,,,,,,
283,,,,,,,,,5602.10.00,,,,,,,,,,
