s,Product Name,Image Link,Photo,"Product label
(3-5 Characters)",Category Name,Processes,"Weight 
(gm)","Cost Price
(Nrs)",HS CODE,Description,"Variations
Color Code",Tags,Product Image Website Link,"Product_image
(Drive Link)",Attribute,Additional Category,Occassion,Type,stock
11,10cm Unripe Pineapple,https://www.feltandyarn.com/7702-large_default/10-cm-and-13-cm-felted-unripe-pineapples.jpg,,URIPE,"--- Food, Fruit & Veggies","Wet Felting, Needling, Sewing",25.00,,5602.10.00,The main body of the pineapple is yellow characterized by the crisscross pattern of green that shows the pineapple's distinct scales.Topping each with a crown of light green multiple leafs.,,,https://www.feltandyarn.com/food-fruits-veggies/1963-16738-10-cm-and-13-cm-felted-unripe-pineapples.html#/357-size-10cm/388-package-10_pieces,https://drive.google.com/drive/folders/1E2nkL2CQi0rx4RUyh-Se4mKJpbPuLPyH?usp=drive_link,,,,,
12,10cm Ripe Pineapple,https://www.feltandyarn.com/7711-large_default/10-cm-felt-ripe-pineapple.jpg,,RIPE,"--- Food, Fruit & Veggies","Wet Felting, Needling, Stitching",25.00,,5602.10.00,The main body of the pineapple is vibrant orange characterized by the crisscross pattern of brown that shows the pineapple's distinct scales.Topping each with a crown of dark green multiple leafs.,,,https://www.feltandyarn.com/food-fruits-veggies/1964-16514-10-cm-felt-ripe-pineapple.html#/1089-craft_supplies_design-pineapple_light_green_grass,,,,,,
13,10cm Pineapple,https://www.feltandyarn.com/7722-large_default/10-cm-cute-pineapple.jpg,,PINE,"--- Food, Fruit & Veggies","Wet Felting, Needling, Stitching",25.00,,5602.10.00,Crafted with the soft yellow wet felted wool. It has the brown scale pattern design on the body. The  top has the green multiple leafs.,,,https://www.feltandyarn.com/food-fruits-veggies/1965-16515-10-cm-cute-pineapple.html#/389-package-15_pieces,,,,,,
14,7cm Popsicles,https://www.feltandyarn.com/18537-large_default/7cm-chocolate-felt-popsicle.jpg,,POPLE,"--- Food, Fruit & Veggies","Wet Felting, Needling",8.00,,5602.10.00,The base of the popsicles is wet felted. Each popsicles has have its own characterstics.Each constructed with rectangular body and small cylindrical stick.,,,https://www.feltandyarn.com/food-fruits-veggies/1408-16934-7cm-chocolate-felt-popsicle.html#/758-craft_supplies_design-strawberry,https://drive.google.com/drive/folders/1JDLTC9TAvV1jmre4hCa-cgv-unhukucc?usp=drive_link,Design,,,,
15,10cm Solid Popsicles,https://www.feltandyarn.com/10928-large_default/10cm-colorful-felt-popsicle.jpg,,SODPO,"--- Food, Fruit & Veggies",Wet Felting,8.00,,5602.10.00,The popsicles has the solid color of base. It has the a rectangular body and small cylindrical stick. ,,,https://www.feltandyarn.com/food-fruits-veggies/2249-30483-10cm-colorful-felt-popsicle.html#/825-color-white_1,https://drive.google.com/drive/folders/17-4aKuPTDhQcNpobZmydX6knJ8XYOef6?usp=drive_link,,,,,
16,6cm Ice Cream,https://www.feltandyarn.com/10709-large_default/6cm-mini-felt-ice-cream.jpg,,ICEC,"--- Food, Fruit & Veggies","Wet Felting, Needling",7.00,,5602.10.00,Cone is wet felted with dark brown felt. The scoops of ice cream are in spherical.,,,https://www.feltandyarn.com/thanks-giving/1667-16748-6cm-mini-felt-ice-cream.html#/1158-craft_supplies_design-ice_cream_orange,https://drive.google.com/drive/folders/1MxHhfh4PrOdyXVEkS2qX9lFS2G06gTBR?usp=drive_link,,,,,
17,6cm Kiwi,https://www.feltandyarn.com/3213-large_default/6cm-felt-kiwi-slice.jpg,,KIWI,"--- Food, Fruit & Veggies","Wet Felting, Needling",4.00,,5602.10.00,"The slices is an identical semi-circle shape. The exterior of the slice is a thin band of fuzzy, light brown felt.The main body is vibrant lime-green felt,white ray extending and the black seeds.",,,https://www.feltandyarn.com/food-fruits-veggies/1451-20722-6cm-felt-kiwi-slice.html#/395-package-45_pieces,https://drive.google.com/drive/folders/1mMfcOIoMUgtl8vgyl2ddJp68KwagyWe8?usp=drive_link,,,,,
18,5cm Mushroom,https://www.feltandyarn.com/13194-large_default/5cm-colorful-felt-mushrooms.jpg,,MUSH,"--- Food, Fruit & Veggies","Wet Felting, Needling",6.00,,5602.10.00,Mushroom is crafted with soft wet felted wool. It has the ball head with white spot design around the head. It has the white creamy stem.,,,https://www.feltandyarn.com/food-fruits-veggies/1393-30356-5cm-colorful-felt-mushrooms.html#/825-color-white_1,https://drive.google.com/drive/folders/1wrede9CEu9x_BxcL515SygS3YM2OFTTL?usp=drive_link,,,,,
19,12cm Green Onion with Face,https://www.feltandyarn.com/16407-large_default/12cm-felt-green-onion-with-face.jpg,,ONFCE,"--- Food, Fruit & Veggies","Wet Felting, Needling",8.00,,5602.10.00,"Measuring 12cm in total height. The design featues a smoth,creamy white body, green leaves attached on the top and white roots on the bottom. It has the black eyes and mouth.",,,https://www.feltandyarn.com/food-fruits-veggies/2509-34921-12cm-felt-green-onion-with-face.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1YNd-W4fg0nf9DGjN-rt9lwOj0YtlYpSF?usp=drive_link,,,,,
20,5cm Onion Slice,https://www.feltandyarn.com/11602-large_default/5cm-felt-onion-slice.jpg,,ONSLE,"--- Food, Fruit & Veggies","Wet Felting, Needling",7.00,,5602.10.00,"Its design meticulously replicates the distinct appearance of a purple onion, showcasing concentric layers in varying shades of purple and white, mimicking the natural structure of the vegetable.",,,https://www.feltandyarn.com/food-fruits-veggies/2301-23735-5cm-felt-onion-slice.html#/390-package-20_pieces,https://drive.google.com/drive/folders/18MiN-R_VVdXXYlvQEcEcJEX1v4oE6N_e?usp=drive_link,,,,,
21,3cm Peach,https://www.feltandyarn.com/17678-large_default/3cm-and-5cm-wool-felt-peaches-felt-fruit-set.jpg,,PEACH,"--- Food, Fruit & Veggies","Wet Felting, Needling",6.00,,5602.10.00,"It features a soft, rounded body in a gentle peach hue. It has the green felt leaf ",,,https://www.feltandyarn.com/food-fruits-veggies/1406-30378-3cm-and-5cm-wool-felt-peaches-felt-fruit-set.html#/390-package-20_pieces/489-size-3_cm,https://drive.google.com/drive/folders/1lwshCbHw6X4pMpYfhgSIuEWOj_QmvUd5?usp=drive_link,,,,,
22,5cm Doughnut with Sprinkles,https://www.feltandyarn.com/17700-large_default/felt-donuts-with-sprinkles.jpg,,DSPLS,"--- Food, Fruit & Veggies","Wet Felting, Needling",5.00,,5602.10.00,"The designed features a classic ring shape with the central hole. It combines a natural, light brown  felt base with a playful pink felt frosting layer,scattered with sprinkles .",,,https://www.feltandyarn.com/food-fruits-veggies/1537-38369-felt-donuts-with-sprinkles.html#/388-package-10_pieces/2356-craft_supplies_design-pink_sprinkles_donut,https://drive.google.com/drive/folders/11RxJgvYfMAvHRIIImsftdDAI_W9S7njA?usp=drive_link,,,,,
23,"6cm Lemon,Orange, Lime Slice",https://www.feltandyarn.com/18615-large_default/wool-felt-lemon-orange-and-lime-slice.jpg,,LESL,"--- Food, Fruit & Veggies","Wet Felting, Needling",3.00,,5602.10.00,"It features felt citrus fruit slices.  a lime, a vibrant orange, a bright yellow lemon, and a darker orange variant has the white inner segment pattern.",,,https://www.feltandyarn.com/food-fruits-veggies/1455-17751-wool-felt-lemon-orange-and-lime-slice.html#/1303-craft_supplies_design-orange,https://drive.google.com/drive/folders/1Ql-PjgQTQbfTwQmQcBO0GnkrBCr8AltQ?usp=drive_link,,,,,
24,4cm Strawberry,https://www.feltandyarn.com/10288-large_default/4cm-stitched-felt-strawberry.jpg,,4CMST,"--- Food, Fruit & Veggies","Wet Felting, Needling, Sewing",3.00,,5602.10.00,The strawberry is crafted with the soft wet red wool. It has the white specks simulating the seeds and the bright green leaf.,,,https://www.feltandyarn.com/food-fruits-veggies/2180-21047-4cm-stitched-felt-strawberry.html#/396-package-50_pieces,https://drive.google.com/drive/folders/1WfjvytUd-77xKjoNoThugZlxgd_7eyA3?usp=drive_link,,,,,
25,5cm Strawberry,https://www.feltandyarn.com/2814-large_default/5cm-wool-felt-strawberry.jpg,,5CMST,"--- Food, Fruit & Veggies","Wet Felting, Needling",6.00,,5602.10.00,The strawberry is crafted with the soft wet wool. It has the white specks simulating the seeds and the bright green leaf.,,,https://www.feltandyarn.com/food-fruits-veggies/1410-16403-5cm-wool-felt-strawberry.html#/1061-strawberry_color-red,https://drive.google.com/drive/folders/1-drhuidNLrZPZEGmKZZL9UrYBCj7Z9Zn?usp=drive_link,,,,,
26,5cm Tomato,https://www.feltandyarn.com/16394-large_default/5cm-smiley-felt-tomato.jpg,,TOMT,"--- Food, Fruit & Veggies","Wet Felting, Needling, Sewing",16.00,,5602.10.00,"Crafted with the soft red felt, the tomato featues a perfectly round shape topped with green felt leaves that mimic the natural stem. It has the needled black eye and smiling mouth.",,,https://www.feltandyarn.com/food-fruits-veggies/2506-34907-5cm-smiley-felt-tomato.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1aT6jI3wjiLp3lu6BVKkmiiLXlpftuGEa?usp=drive_link,,,,,
27,6cm Turnip with leaves,https://www.feltandyarn.com/17687-large_default/6cm-felt-turnip-with-leaves.jpg,,TURNP,"--- Food, Fruit & Veggies","Wet Felting, Needling, Sewing",5.00,,5602.10.00,"It is round body is crafted in a blend of white and vibrant pink wool, mimicking the natural gradient of a real turnip. At top, bright green felt leaves sprout.",,,https://www.feltandyarn.com/food-fruits-veggies/1935-15723-6cm-felt-turnip-with-leaves.html#/391-package-25_pieces,https://drive.google.com/drive/folders/1WK63Gy7Ep-9SUtSigAtZ1Y-nfT9baZ1s?usp=drive_link,,,,,
28,6cm Watermelon,https://www.feltandyarn.com/10562-large_default/6cm-wool-felt-watermelon.jpg,,WAMEL,"--- Food, Fruit & Veggies","Wet Felting, Needling, Stitching",5.00,,5602.10.00,"This felt watermelon slice is designed in a playful triangular shape, featuring a vibrant red body adorned with tiny black stitched seeds for a realistic touch. The top edge is detailed with a crisp white strip and a bright green felt rind, perfectly mimicking the layers of a fresh watermelon slice.",,,https://www.feltandyarn.com/food-fruits-veggies/2207-23258-6cm-wool-felt-watermelon.html#/396-package-50_pieces,https://drive.google.com/drive/folders/1-bJDNos9yWbjkUCMHdO-BYnsEi9r-Uwy?usp=drive_link,,,,,
29,6cm Watermelon Slices,https://www.feltandyarn.com/10335-large_default/6cm-felt-watermelon-slice.jpg,,WASLC,"--- Food, Fruit & Veggies","Wet Felting, Needling",4.00,,5602.10.00,the watermelon slices is half circle. The base is wet felted. It has the black needled seed and green or yellow outer layer of watermelon.,,,https://www.feltandyarn.com/food-fruits-veggies/1745-17007-6cm-felt-watermelon-slice.html#/1297-craft_supplies_design-watermelon_13_14,https://drive.google.com/drive/folders/1R55Vbemib9kWNF7wNN8YQU3Dk2Nexff3?usp=drive_link,,,,,
30,7cm Cocktail,https://www.feltandyarn.com/17706-large_default/7cm-felt-cocktail.jpg,,CKTA,"--- Food, Fruit & Veggies","Wet Felting, Needling",7.00,,5602.10.00,The cocktail is crafted with the soft grey wet felted base. It has the oragnge needle design that resembles as juice and white straw and green leaf.,,,https://www.feltandyarn.com/food-fruits-veggies/2263-23612-7cm-felt-cocktail.html#/390-package-20_pieces,,,,,,
31,3cm Apple,https://www.feltandyarn.com/4600-large_default/wool-felt-red-apple.jpg,,3APPL,"--- Food, Fruit & Veggies",Wet Felting,6.00,,5602.10.00,The handmade felt apples is speherical body made from the red wool.  A brown felt stem and small green leaf are attached on the top. It is about 3cm in diameter.,,,https://www.feltandyarn.com/food-fruits-veggies/1605-23523-wool-felt-red-apple.html#/388-package-10_pieces/489-size-3_cm,,,,,,
32,4cm Apple,https://www.feltandyarn.com/4600-large_default/wool-felt-red-apple.jpg,,4APPL,"--- Food, Fruit & Veggies",Wet Felting,11.00,,5602.10.00,The handmade felt apples is speherical body made from the red wool.  A brown felt stem and small green leaf are attached on the top. It is about 4cm in diameter.,,,https://www.feltandyarn.com/food-fruits-veggies/1605-23523-wool-felt-red-apple.html#/388-package-10_pieces/489-size-3_cm,,,,,,
33,5cm Apple,https://www.feltandyarn.com/4600-large_default/wool-felt-red-apple.jpg,,5APPL,"--- Food, Fruit & Veggies",Wet Felting,28.00,,5602.10.00,The handmade felt apples is speherical body made from the red wool.  A brown felt stem and small green leaf are attached on the top. It is about 5cm in diameter.,,,https://www.feltandyarn.com/food-fruits-veggies/1605-23523-wool-felt-red-apple.html#/388-package-10_pieces/489-size-3_cm,,,,,,
34,6cm Apple,https://www.feltandyarn.com/4600-large_default/wool-felt-red-apple.jpg,,6APPL,"--- Food, Fruit & Veggies",Wet Felting,31.00,,5602.10.00,The handmade felt apples is speherical body made from the red wool.  A brown felt stem and small green leaf are attached on the top. It is about 6cm in diameter.,,,https://www.feltandyarn.com/food-fruits-veggies/1605-23524-wool-felt-red-apple.html#/388-package-10_pieces/609-size-6_cm,,,,,,
35,7cm Acron,https://www.feltandyarn.com/2965-large_default/7cm-smiley-mini-felt-acorn.jpg,,ACORN,"--- Food, Fruit & Veggies","Wet Felting, Needling, Stitching",12.00,,5602.10.00,The acorn is made with the coral soft wool. It is designed in two section body and cap. The lower body has the simply face with the black needled eye and black smiling mouth. The upper cap is detailed with the lattice pattern made of visible coral stitching thread and small stem nub on the top. The acorn is 7cm in length and 3cm in width.,,,https://www.feltandyarn.com/food-fruits-veggies/1425-7772-7cm-smiley-mini-felt-acorn.html#/388-package-10_pieces,,,,,,
36,5cm Spinach Leaf,https://www.feltandyarn.com/7462-large_default/5cm-wool-felt-spinach.jpg,,5SPIN,"--- Food, Fruit & Veggies","Wet Felting, Needling",5.00,,5602.10.00,"The flat spinach leaf made from the soft wool. It features a green , rounded with a visible short stem at the bottom. The central design element is a set of thick, black needled lines on the surface which represent the vein. ",,,https://www.feltandyarn.com/food-fruits-veggies/1929-15646-5cm-wool-felt-spinach.html#/391-package-25_pieces,,,,,,
37,4cm Mushroom,https://www.feltandyarn.com/7461-large_default/4cm-wool-button-mushroom.jpg,,4MUSH,"--- Food, Fruit & Veggies","Wet Felting, Needling",8.00,,5602.10.00,"The mushroom is crafted with wet felting technique measuring the length of 4cm. It has the two rounded component, a larger flatter dome forming the cap and a smaller, cylinderical piece formin the stem. The wool is a beige color with the presence of visible small, irregular darker brown specks onto the cap.",,,https://www.feltandyarn.com/food-fruits-veggies/1928-15566-4cm-wool-button-mushroom.html#/391-package-25_pieces,,,,,,
38,10cm Margarita,https://www.feltandyarn.com/7596-large_default/10cm-felt-stitched-margarita.jpg,,MARGA,"--- Food, Fruit & Veggies","Wet Felting, Stitching",10.00,,5602.10.00,The magarita is handcrafted with the soft wool measuring around the 10cm length. The drink portion and the lime wedge garnish are in lime green color surrounded by the bright green visible stitching around the edges of glass. Small white stitches represent the salt. The base of the class made with blue felt with the visible matching color threads,,,https://www.feltandyarn.com/food-fruits-veggies/1949-16024-10cm-felt-stitched-margarita.html#/390-package-20_pieces,,,,,,
39,7cm Mushroom,https://www.feltandyarn.com/3082-large_default/happy-mini-felt-mushroom.jpg,,7MUSH,"--- Food, Fruit & Veggies","Wet Felting, Needling",5.00,,5602.10.00,"The handmade wool mushroom is crafted with wet felting techniques measured 7cm in length. It has the spherical red cap completed with small, scattered white felt sports. The cap features a charming face, including simple needled eyes and smiling mouth in black. The stem is cylindrical piece of the cream wool decorated with green grass and red flower. ",,,https://www.feltandyarn.com/food-fruits-veggies/1436-7792-happy-mini-felt-mushroom.html#/388-package-10_pieces,,,,,,
40,6cm Tomato,https://www.feltandyarn.com/9994-large_default/wool-felt-red-tomato.jpg,,6TOMA,"--- Food, Fruit & Veggies","Wet Felting, Stitching",6.00,,5602.10.00,The tomato is crafted with the wet felting technique measing 6cm. The main body is spherical shape made from red wool with the vertical ribbing to represent the segment of tomato. The top features a cap composed of green felted sepals and short stem.,,,https://www.feltandyarn.com/food-fruits-veggies/2156-20407-wool-felt-red-tomato.html#/391-package-25_pieces,,,,,,
41,6cm Grapes,https://www.feltandyarn.com/10008-large_default/wool-felt-grapes.jpg,,GRAP,"--- Food, Fruit & Veggies","Wet Felting, Sewing",12.00,,5602.10.00,"The small bunch of grapes, crafted with the wet felting technique is measured 6cm in lenght. It is created by the  several individual,tightly packed spherical pieces. Attached on the cluster is the short green felted stem.",,,https://www.feltandyarn.com/food-fruits-veggies/2157-20412-wool-felt-grapes.html#/1568-craft_supplies_design-green_grapes,,,,,,
42,9cm Beet,https://www.feltandyarn.com/15635-large_default/9cm-smily-felt-beet.jpg,,BEET,"--- Food, Fruit & Veggies","Wet Felting, Needling, Sewing",11.00,,5602.10.00,"The beet is crafted with the soft red wool measuring 9cm in length. The round body is in red color, tapering a tin root at the bottom. A green felt is used for the leafy top, which is attached at the crown. The veet has a needled black eyes and smiling mouth on the body. ",,,https://www.feltandyarn.com/food-fruits-veggies/2507-34909-9cm-smily-felt-beet.html#/388-package-10_pieces,,,,,,
43,11cm Egg Plant,https://www.feltandyarn.com/15636-large_default/11cm-smiley-felt-eggplant.jpg,,EGGPL,"--- Food, Fruit & Veggies","Wet Felting, Needling",12.00,,5602.10.00,The eggplant is crafted using the wet felting technique measuring 11cm in length. The body is an elongated oval shape made from purple wool. A. green wool is used for the calyx and stem which tapers upward from the main body. The body features a face in the front consisting a two small white felt circles for eyes and neddled smiling mouth.,,,https://www.feltandyarn.com/food-fruits-veggies/2508-34915-11cm-smiley-felt-eggplant.html#/388-package-10_pieces,,,,,,
44,9x8cm Bread Toast,https://www.feltandyarn.com/15643-large_default/9x8cm-wool-felted-smiley-bread-toast.jpg,,BREAD,"--- Food, Fruit & Veggies","Wet Felting, Needling",18.00,,5602.10.00,"The flat slice of white bread is crafted from the creamy white slighty darker, tanned brown coloring around the edges. It is about the 9cm in length and 8cm in width. The top edges is gently scalloped into a slight heart shape. The design features two black eyes and needled black smiling mouth.",,,https://www.feltandyarn.com/food-fruits-veggies/2513-34945-9x8cm-wool-felted-smiley-bread-toast.html#/388-package-10_pieces,,,,,,
45,3cm Popcorns,https://www.feltandyarn.com/17484-large_default/handmade-wool-felt-popcorns.jpg,,POPCO,"--- Food, Fruit & Veggies",Wet Felting,1.00,,5602.10.00,"The popcorn likely crafted using the wet felting technique measuring 3cm. The shape is compact and organic , featuring lobes at the tops. ",,,https://www.feltandyarn.com/food-fruits-veggies/2618-37278-handmade-wool-felt-popcorns.html#/388-package-10_pieces,,,,,,
46,8cm Coconut Tree,https://www.feltandyarn.com/17581-large_default/handmade-wool-felt-sprouted-coconut-tree.jpg,,CTREE,"--- Food, Fruit & Veggies",Wet Felting,8.00,,5602.10.00,"The coconut tree is crafted from wool using wet felting technique. The design freatues layered leaves in white, green and yellow which added multitones.The trunk is light brown with stitching around the edges. At the center of leaves sit a small three pink felted spheres represent the coconut.",,,https://www.feltandyarn.com/food-fruits-veggies/2629-37535-handmade-wool-felt-sprouted-coconut-tree.html#/388-package-10_pieces,,,,,,
47,6cm Croissant,https://www.feltandyarn.com/17462-large_default/wool-felt-croissant-ornament.jpg,,CROI,"--- Food, Fruit & Veggies",Wet Felting,6.00,,5602.10.00,The croissant is crafted from the golden color using wet felting technique measures 6cm. The design in simple curved cylinder. A matching thread is stitched on the body to divide on the segment of the body. ,,,https://www.feltandyarn.com/food-fruits-veggies/2616-37265-wool-felt-croissant-ornament.html#/388-package-10_pieces,,,,,,
48,,,,,,,,,5602.10.00,,,,,,,,,,
49,,,,,,,,,5602.10.00,,,,,,,,,,
50,,,,,,,,,5602.10.00,,,,,,,,,,
51,,,,,,,,,5602.10.00,,,,,,,,,,
52,,,,,,,,,5602.10.00,,,,,,,,,,
53,,,,,,,,,5602.10.00,,,,,,,,,,
54,,,,,,,,,5602.10.00,,,,,,,,,,
55,,,,,,,,,5602.10.00,,,,,,,,,,
56,,,,,,,,,5602.10.00,,,,,,,,,,
57,,,,,,,,,5602.10.00,,,,,,,,,,
58,,,,,,,,,5602.10.00,,,,,,,,,,
59,,,,,,,,,5602.10.00,,,,,,,,,,
60,,,,,,,,,5602.10.00,,,,,,,,,,
61,,,,,,,,,5602.10.00,,,,,,,,,,
62,,,,,,,,,5602.10.00,,,,,,,,,,
63,,,,,,,,,5602.10.00,,,,,,,,,,
64,,,,,,,,,5602.10.00,,,,,,,,,,
65,,,,,,,,,5602.10.00,,,,,,,,,,
66,,,,,,,,,5602.10.00,,,,,,,,,,
67,,,,,,,,,5602.10.00,,,,,,,,,,
68,,,,,,,,,5602.10.00,,,,,,,,,,
69,,,,,,,,,5602.10.00,,,,,,,,,,
70,,,,,,,,,5602.10.00,,,,,,,,,,
71,,,,,,,,,5602.10.00,,,,,,,,,,
72,,,,,,,,,5602.10.00,,,,,,,,,,
73,,,,,,,,,5602.10.00,,,,,,,,,,
74,,,,,,,,,5602.10.00,,,,,,,,,,
75,,,,,,,,,5602.10.00,,,,,,,,,,
76,,,,,,,,,5602.10.00,,,,,,,,,,
77,,,,,,,,,5602.10.00,,,,,,,,,,
78,,,,,,,,,5602.10.00,,,,,,,,,,
79,,,,,,,,,5602.10.00,,,,,,,,,,
80,,,,,,,,,5602.10.00,,,,,,,,,,
81,,,,,,,,,5602.10.00,,,,,,,,,,
82,,,,,,,,,5602.10.00,,,,,,,,,,
83,,,,,,,,,5602.10.00,,,,,,,,,,
84,,,,,,,,,5602.10.00,,,,,,,,,,
85,,,,,,,,,5602.10.00,,,,,,,,,,
86,,,,,,,,,5602.10.00,,,,,,,,,,
87,,,,,,,,,5602.10.00,,,,,,,,,,
88,,,,,,,,,5602.10.00,,,,,,,,,,
89,,,,,,,,,5602.10.00,,,,,,,,,,
90,,,,,,,,,5602.10.00,,,,,,,,,,
91,,,,,,,,,5602.10.00,,,,,,,,,,
92,,,,,,,,,5602.10.00,,,,,,,,,,
93,,,,,,,,,5602.10.00,,,,,,,,,,
94,,,,,,,,,5602.10.00,,,,,,,,,,
95,,,,,,,,,5602.10.00,,,,,,,,,,
