s,Product Name,Image Link,Photo,"Product label
(3-5 Characters)",Category Name,Processes,"Weight 
(gm)","Cost Price
(Nrs)",HS CODE,Description,"Variations
Color Code",Tags,Product Image Website Link,"Product_image
(Drive Link)",Attribute,Additional Category,Occassion,Type,stock
57,,,,,,,,,5602.10.00,,,,,,,,,,
58,,,,,,,,,5602.10.00,,,,,,,,,,
59,,,,,,,,,5602.10.00,,,,,,,,,,
60,,,,,,,,,5602.10.00,,,,,,,,,,
61,,,,,,,,,5602.10.00,,,,,,,,,,
62,,,,,,,,,5602.10.00,,,,,,,,,,
63,,,,,,,,,5602.10.00,,,,,,,,,,
64,,,,,,,,,5602.10.00,,,,,,,,,,
65,,,,,,,,,5602.10.00,,,,,,,,,,
66,,,,,,,,,5602.10.00,,,,,,,,,,
67,,,,,,,,,5602.10.00,,,,,,,,,,
68,,,,,,,,,5602.10.00,,,,,,,,,,
69,,,,,,,,,5602.10.00,,,,,,,,,,
70,,,,,,,,,5602.10.00,,,,,,,,,,
71,,,,,,,,,5602.10.00,,,,,,,,,,
72,,,,,,,,,5602.10.00,,,,,,,,,,
73,,,,,,,,,5602.10.00,,,,,,,,,,
74,,,,,,,,,5602.10.00,,,,,,,,,,
75,,,,,,,,,5602.10.00,,,,,,,,,,
76,,,,,,,,,5602.10.00,,,,,,,,,,
77,,,,,,,,,5602.10.00,,,,,,,,,,
78,,,,,,,,,5602.10.00,,,,,,,,,,
79,,,,,,,,,5602.10.00,,,,,,,,,,
80,,,,,,,,,5602.10.00,,,,,,,,,,
81,,,,,,,,,5602.10.00,,,,,,,,,,
82,,,,,,,,,5602.10.00,,,,,,,,,,
83,,,,,,,,,5602.10.00,,,,,,,,,,
84,,,,,,,,,5602.10.00,,,,,,,,,,
85,,,,,,,,,5602.10.00,,,,,,,,,,
86,,,,,,,,,5602.10.00,,,,,,,,,,
87,,,,,,,,,5602.10.00,,,,,,,,,,
88,,,,,,,,,5602.10.00,,,,,,,,,,
89,,,,,,,,,5602.10.00,,,,,,,,,,
90,,,,,,,,,5602.10.00,,,,,,,,,,
91,,,,,,,,,5602.10.00,,,,,,,,,,
92,,,,,,,,,5602.10.00,,,,,,,,,,
93,,,,,,,,,5602.10.00,,,,,,,,,,
94,,,,,,,,,5602.10.00,,,,,,,,,,
95,,,,,,,,,5602.10.00,,,,,,,,,,
96,,,,,,,,,5602.10.00,,,,,,,,,,
97,,,,,,,,,5602.10.00,,,,,,,,,,
98,,,,,,,,,5602.10.00,,,,,,,,,,
99,,,,,,,,,5602.10.00,,,,,,,,,,
100,,,,,,,,,5602.10.00,,,,,,,,,,
101,,,,,,,,,5602.10.00,,,,,,,,,,
102,,,,,,,,,5602.10.00,,,,,,,,,,
103,,,,,,,,,5602.10.00,,,,,,,,,,
104,,,,,,,,,5602.10.00,,,,,,,,,,
105,,,,,,,,,5602.10.00,,,,,,,,,,
106,,,,,,,,,5602.10.00,,,,,,,,,,
107,,,,,,,,,5602.10.00,,,,,,,,,,
108,,,,,,,,,5602.10.00,,,,,,,,,,
109,,,,,,,,,5602.10.00,,,,,,,,,,
110,,,,,,,,,5602.10.00,,,,,,,,,,
111,,,,,,,,,5602.10.00,,,,,,,,,,
112,,,,,,,,,5602.10.00,,,,,,,,,,
113,,,,,,,,,5602.10.00,,,,,,,,,,
114,,,,,,,,,5602.10.00,,,,,,,,,,
115,,,,,,,,,5602.10.00,,,,,,,,,,
116,,,,,,,,,5602.10.00,,,,,,,,,,
117,,,,,,,,,5602.10.00,,,,,,,,,,
118,,,,,,,,,5602.10.00,,,,,,,,,,
119,,,,,,,,,5602.10.00,,,,,,,,,,
120,,,,,,,,,5602.10.00,,,,,,,,,,
121,,,,,,,,,5602.10.00,,,,,,,,,,
122,,,,,,,,,5602.10.00,,,,,,,,,,
123,,,,,,,,,5602.10.00,,,,,,,,,,
124,,,,,,,,,5602.10.00,,,,,,,,,,
125,,,,,,,,,5602.10.00,,,,,,,,,,
126,,,,,,,,,5602.10.00,,,,,,,,,,
127,,,,,,,,,5602.10.00,,,,,,,,,,
128,,,,,,,,,5602.10.00,,,,,,,,,,
129,,,,,,,,,5602.10.00,,,,,,,,,,
130,,,,,,,,,5602.10.00,,,,,,,,,,
131,,,,,,,,,5602.10.00,,,,,,,,,,
132,,,,,,,,,5602.10.00,,,,,,,,,,
133,,,,,,,,,5602.10.00,,,,,,,,,,
134,,,,,,,,,5602.10.00,,,,,,,,,,
135,,,,,,,,,5602.10.00,,,,,,,,,,
136,,,,,,,,,5602.10.00,,,,,,,,,,
137,,,,,,,,,5602.10.00,,,,,,,,,,
138,,,,,,,,,5602.10.00,,,,,,,,,,
139,,,,,,,,,5602.10.00,,,,,,,,,,
140,,,,,,,,,5602.10.00,,,,,,,,,,
141,,,,,,,,,5602.10.00,,,,,,,,,,
142,,,,,,,,,5602.10.00,,,,,,,,,,
143,,,,,,,,,5602.10.00,,,,,,,,,,
144,,,,,,,,,5602.10.00,,,,,,,,,,
145,,,,,,,,,5602.10.00,,,,,,,,,,
146,,,,,,,,,5602.10.00,,,,,,,,,,
147,,,,,,,,,5602.10.00,,,,,,,,,,
148,,,,,,,,,5602.10.00,,,,,,,,,,
149,,,,,,,,,5602.10.00,,,,,,,,,,
150,,,,,,,,,5602.10.00,,,,,,,,,,
151,,,,,,,,,5602.10.00,,,,,,,,,,
152,,,,,,,,,5602.10.00,,,,,,,,,,
153,,,,,,,,,5602.10.00,,,,,,,,,,
154,,,,,,,,,5602.10.00,,,,,,,,,,
155,,,,,,,,,5602.10.00,,,,,,,,,,
156,,,,,,,,,5602.10.00,,,,,,,,,,
157,,,,,,,,,5602.10.00,,,,,,,,,,
158,,,,,,,,,5602.10.00,,,,,,,,,,
159,,,,,,,,,5602.10.00,,,,,,,,,,
160,,,,,,,,,5602.10.00,,,,,,,,,,
161,,,,,,,,,5602.10.00,,,,,,,,,,
162,,,,,,,,,5602.10.00,,,,,,,,,,
163,,,,,,,,,5602.10.00,,,,,,,,,,
164,,,,,,,,,5602.10.00,,,,,,,,,,
165,,,,,,,,,5602.10.00,,,,,,,,,,
166,,,,,,,,,5602.10.00,,,,,,,,,,
167,,,,,,,,,5602.10.00,,,,,,,,,,
168,,,,,,,,,5602.10.00,,,,,,,,,,
169,,,,,,,,,5602.10.00,,,,,,,,,,
170,,,,,,,,,5602.10.00,,,,,,,,,,
171,,,,,,,,,5602.10.00,,,,,,,,,,
172,,,,,,,,,5602.10.00,,,,,,,,,,
173,,,,,,,,,5602.10.00,,,,,,,,,,
174,,,,,,,,,5602.10.00,,,,,,,,,,
175,,,,,,,,,5602.10.00,,,,,,,,,,
176,,,,,,,,,5602.10.00,,,,,,,,,,
177,,,,,,,,,5602.10.00,,,,,,,,,,
178,,,,,,,,,5602.10.00,,,,,,,,,,
179,,,,,,,,,5602.10.00,,,,,,,,,,
180,,,,,,,,,5602.10.00,,,,,,,,,,
181,,,,,,,,,5602.10.00,,,,,,,,,,
182,,,,,,,,,5602.10.00,,,,,,,,,,
183,,,,,,,,,5602.10.00,,,,,,,,,,
184,,,,,,,,,5602.10.00,,,,,,,,,,
185,,,,,,,,,5602.10.00,,,,,,,,,,
186,,,,,,,,,5602.10.00,,,,,,,,,,
187,,,,,,,,,5602.10.00,,,,,,,,,,
188,,,,,,,,,5602.10.00,,,,,,,,,,
189,,,,,,,,,5602.10.00,,,,,,,,,,
190,,,,,,,,,5602.10.00,,,,,,,,,,
191,,,,,,,,,5602.10.00,,,,,,,,,,
192,,,,,,,,,5602.10.00,,,,,,,,,,
193,,,,,,,,,5602.10.00,,,,,,,,,,
194,,,,,,,,,5602.10.00,,,,,,,,,,
195,,,,,,,,,5602.10.00,,,,,,,,,,
196,,,,,,,,,5602.10.00,,,,,,,,,,
197,,,,,,,,,5602.10.00,,,,,,,,,,
198,,,,,,,,,5602.10.00,,,,,,,,,,
199,,,,,,,,,5602.10.00,,,,,,,,,,
200,,,,,,,,,5602.10.00,,,,,,,,,,
201,,,,,,,,,5602.10.00,,,,,,,,,,
202,,,,,,,,,5602.10.00,,,,,,,,,,
203,,,,,,,,,5602.10.00,,,,,,,,,,
204,,,,,,,,,5602.10.00,,,,,,,,,,
205,,,,,,,,,5602.10.00,,,,,,,,,,
206,,,,,,,,,5602.10.00,,,,,,,,,,
207,,,,,,,,,5602.10.00,,,,,,,,,,
208,,,,,,,,,5602.10.00,,,,,,,,,,
209,,,,,,,,,5602.10.00,,,,,,,,,,
210,,,,,,,,,5602.10.00,,,,,,,,,,
211,,,,,,,,,5602.10.00,,,,,,,,,,
212,,,,,,,,,5602.10.00,,,,,,,,,,
213,,,,,,,,,5602.10.00,,,,,,,,,,
214,,,,,,,,,5602.10.00,,,,,,,,,,
215,,,,,,,,,5602.10.00,,,,,,,,,,
216,,,,,,,,,5602.10.00,,,,,,,,,,
217,,,,,,,,,5602.10.00,,,,,,,,,,
218,,,,,,,,,5602.10.00,,,,,,,,,,
219,,,,,,,,,5602.10.00,,,,,,,,,,
220,,,,,,,,,5602.10.00,,,,,,,,,,
221,,,,,,,,,5602.10.00,,,,,,,,,,
222,,,,,,,,,5602.10.00,,,,,,,,,,
223,,,,,,,,,5602.10.00,,,,,,,,,,
224,,,,,,,,,5602.10.00,,,,,,,,,,
225,,,,,,,,,5602.10.00,,,,,,,,,,
226,,,,,,,,,5602.10.00,,,,,,,,,,
227,,,,,,,,,5602.10.00,,,,,,,,,,
228,,,,,,,,,5602.10.00,,,,,,,,,,
229,,,,,,,,,5602.10.00,,,,,,,,,,
230,,,,,,,,,5602.10.00,,,,,,,,,,
231,,,,,,,,,5602.10.00,,,,,,,,,,
232,,,,,,,,,5602.10.00,,,,,,,,,,
233,,,,,,,,,5602.10.00,,,,,,,,,,
234,,,,,,,,,5602.10.00,,,,,,,,,,
235,,,,,,,,,5602.10.00,,,,,,,,,,
236,,,,,,,,,5602.10.00,,,,,,,,,,
237,,,,,,,,,5602.10.00,,,,,,,,,,
238,,,,,,,,,5602.10.00,,,,,,,,,,
239,,,,,,,,,5602.10.00,,,,,,,,,,
240,,,,,,,,,5602.10.00,,,,,,,,,,
241,,,,,,,,,5602.10.00,,,,,,,,,,
242,,,,,,,,,5602.10.00,,,,,,,,,,
243,,,,,,,,,5602.10.00,,,,,,,,,,
244,,,,,,,,,5602.10.00,,,,,,,,,,
245,,,,,,,,,5602.10.00,,,,,,,,,,
246,,,,,,,,,5602.10.00,,,,,,,,,,
247,,,,,,,,,5602.10.00,,,,,,,,,,
248,,,,,,,,,5602.10.00,,,,,,,,,,
249,,,,,,,,,5602.10.00,,,,,,,,,,
250,,,,,,,,,5602.10.00,,,,,,,,,,
251,,,,,,,,,5602.10.00,,,,,,,,,,
252,,,,,,,,,5602.10.00,,,,,,,,,,
253,,,,,,,,,5602.10.00,,,,,,,,,,
254,,,,,,,,,5602.10.00,,,,,,,,,,
255,,,,,,,,,5602.10.00,,,,,,,,,,
256,,,,,,,,,5602.10.00,,,,,,,,,,
257,,,,,,,,,5602.10.00,,,,,,,,,,
258,,,,,,,,,5602.10.00,,,,,,,,,,
259,,,,,,,,,5602.10.00,,,,,,,,,,
260,,,,,,,,,5602.10.00,,,,,,,,,,
261,,,,,,,,,5602.10.00,,,,,,,,,,
262,,,,,,,,,5602.10.00,,,,,,,,,,
263,,,,,,,,,5602.10.00,,,,,,,,,,
264,,,,,,,,,5602.10.00,,,,,,,,,,
265,,,,,,,,,5602.10.00,,,,,,,,,,
266,,,,,,,,,5602.10.00,,,,,,,,,,
267,,,,,,,,,5602.10.00,,,,,,,,,,
268,,,,,,,,,5602.10.00,,,,,,,,,,
269,,,,,,,,,5602.10.00,,,,,,,,,,
270,,,,,,,,,5602.10.00,,,,,,,,,,
271,,,,,,,,,5602.10.00,,,,,,,,,,
272,,,,,,,,,5602.10.00,,,,,,,,,,
273,,,,,,,,,5602.10.00,,,,,,,,,,
274,,,,,,,,,5602.10.00,,,,,,,,,,
275,,,,,,,,,5602.10.00,,,,,,,,,,
276,,,,,,,,,5602.10.00,,,,,,,,,,
277,,,,,,,,,5602.10.00,,,,,,,,,,
278,,,,,,,,,5602.10.00,,,,,,,,,,
279,,,,,,,,,5602.10.00,,,,,,,,,,
280,,,,,,,,,5602.10.00,,,,,,,,,,
281,,,,,,,,,5602.10.00,,,,,,,,,,
282,,,,,,,,,5602.10.00,,,,,,,,,,
283,,,,,,,,,5602.10.00,,,,,,,,,,
284,,,,,,,,,5602.10.00,,,,,,,,,,
285,,,,,,,,,5602.10.00,,,,,,,,,,
286,,,,,,,,,5602.10.00,,,,,,,,,,
287,,,,,,,,,5602.10.00,,,,,,,,,,
288,,,,,,,,,5602.10.00,,,,,,,,,,
289,,,,,,,,,5602.10.00,,,,,,,,,,
290,,,,,,,,,5602.10.00,,,,,,,,,,
291,,,,,,,,,5602.10.00,,,,,,,,,,
292,,,,,,,,,5602.10.00,,,,,,,,,,
293,,,,,,,,,5602.10.00,,,,,,,,,,
294,,,,,,,,,5602.10.00,,,,,,,,,,
295,,,,,,,,,5602.10.00,,,,,,,,,,
296,,,,,,,,,5602.10.00,,,,,,,,,,
297,,,,,,,,,5602.10.00,,,,,,,,,,
298,,,,,,,,,5602.10.00,,,,,,,,,,
299,,,,,,,,,5602.10.00,,,,,,,,,,
300,,,,,,,,,5602.10.00,,,,,,,,,,
301,,,,,,,,,5602.10.00,,,,,,,,,,
302,,,,,,,,,5602.10.00,,,,,,,,,,
303,,,,,,,,,5602.10.00,,,,,,,,,,
304,,,,,,,,,5602.10.00,,,,,,,,,,
305,,,,,,,,,5602.10.00,,,,,,,,,,
306,,,,,,,,,5602.10.00,,,,,,,,,,
307,,,,,,,,,5602.10.00,,,,,,,,,,
308,,,,,,,,,5602.10.00,,,,,,,,,,
309,,,,,,,,,5602.10.00,,,,,,,,,,
310,,,,,,,,,5602.10.00,,,,,,,,,,
311,,,,,,,,,5602.10.00,,,,,,,,,,
312,,,,,,,,,5602.10.00,,,,,,,,,,
313,,,,,,,,,5602.10.00,,,,,,,,,,
314,,,,,,,,,5602.10.00,,,,,,,,,,
315,,,,,,,,,5602.10.00,,,,,,,,,,
316,,,,,,,,,5602.10.00,,,,,,,,,,
317,,,,,,,,,5602.10.00,,,,,,,,,,
318,,,,,,,,,5602.10.00,,,,,,,,,,
319,,,,,,,,,5602.10.00,,,,,,,,,,
320,,,,,,,,,5602.10.00,,,,,,,,,,
321,,,,,,,,,5602.10.00,,,,,,,,,,
322,,,,,,,,,5602.10.00,,,,,,,,,,
323,,,,,,,,,5602.10.00,,,,,,,,,,
324,,,,,,,,,5602.10.00,,,,,,,,,,
325,,,,,,,,,5602.10.00,,,,,,,,,,
326,,,,,,,,,5602.10.00,,,,,,,,,,
327,,,,,,,,,5602.10.00,,,,,,,,,,
328,,,,,,,,,5602.10.00,,,,,,,,,,
329,,,,,,,,,5602.10.00,,,,,,,,,,
330,,,,,,,,,5602.10.00,,,,,,,,,,
331,,,,,,,,,5602.10.00,,,,,,,,,,
332,,,,,,,,,5602.10.00,,,,,,,,,,
333,,,,,,,,,5602.10.00,,,,,,,,,,
334,,,,,,,,,5602.10.00,,,,,,,,,,
335,,,,,,,,,5602.10.00,,,,,,,,,,
336,,,,,,,,,5602.10.00,,,,,,,,,,
337,,,,,,,,,5602.10.00,,,,,,,,,,
338,,,,,,,,,5602.10.00,,,,,,,,,,
339,,,,,,,,,5602.10.00,,,,,,,,,,
340,,,,,,,,,5602.10.00,,,,,,,,,,
341,,,,,,,,,5602.10.00,,,,,,,,,,
342,,,,,,,,,5602.10.00,,,,,,,,,,
343,,,,,,,,,5602.10.00,,,,,,,,,,
344,,,,,,,,,5602.10.00,,,,,,,,,,
345,,,,,,,,,5602.10.00,,,,,,,,,,
346,,,,,,,,,5602.10.00,,,,,,,,,,
347,,,,,,,,,5602.10.00,,,,,,,,,,
348,,,,,,,,,5602.10.00,,,,,,,,,,
349,,,,,,,,,5602.10.00,,,,,,,,,,
350,,,,,,,,,5602.10.00,,,,,,,,,,
351,,,,,,,,,5602.10.00,,,,,,,,,,
352,,,,,,,,,5602.10.00,,,,,,,,,,
353,,,,,,,,,5602.10.00,,,,,,,,,,
354,,,,,,,,,5602.10.00,,,,,,,,,,
355,,,,,,,,,5602.10.00,,,,,,,,,,
356,,,,,,,,,5602.10.00,,,,,,,,,,
357,,,,,,,,,5602.10.00,,,,,,,,,,
358,,,,,,,,,5602.10.00,,,,,,,,,,
359,,,,,,,,,5602.10.00,,,,,,,,,,
360,,,,,,,,,5602.10.00,,,,,,,,,,
361,,,,,,,,,5602.10.00,,,,,,,,,,
362,,,,,,,,,5602.10.00,,,,,,,,,,
363,,,,,,,,,5602.10.00,,,,,,,,,,
364,,,,,,,,,5602.10.00,,,,,,,,,,
365,,,,,,,,,5602.10.00,,,,,,,,,,
366,,,,,,,,,5602.10.00,,,,,,,,,,
367,,,,,,,,,5602.10.00,,,,,,,,,,
368,,,,,,,,,5602.10.00,,,,,,,,,,
369,,,,,,,,,5602.10.00,,,,,,,,,,
370,,,,,,,,,5602.10.00,,,,,,,,,,
371,,,,,,,,,5602.10.00,,,,,,,,,,
372,,,,,,,,,5602.10.00,,,,,,,,,,
373,,,,,,,,,5602.10.00,,,,,,,,,,
374,,,,,,,,,5602.10.00,,,,,,,,,,
375,,,,,,,,,5602.10.00,,,,,,,,,,
376,,,,,,,,,5602.10.00,,,,,,,,,,
377,,,,,,,,,5602.10.00,,,,,,,,,,
378,,,,,,,,,5602.10.00,,,,,,,,,,
379,,,,,,,,,5602.10.00,,,,,,,,,,
380,,,,,,,,,5602.10.00,,,,,,,,,,
381,,,,,,,,,5602.10.00,,,,,,,,,,
382,,,,,,,,,5602.10.00,,,,,,,,,,
383,,,,,,,,,5602.10.00,,,,,,,,,,
384,,,,,,,,,5602.10.00,,,,,,,,,,
385,,,,,,,,,5602.10.00,,,,,,,,,,
386,,,,,,,,,5602.10.00,,,,,,,,,,
387,,,,,,,,,5602.10.00,,,,,,,,,,
388,,,,,,,,,5602.10.00,,,,,,,,,,
389,,,,,,,,,5602.10.00,,,,,,,,,,
390,,,,,,,,,5602.10.00,,,,,,,,,,
391,,,,,,,,,5602.10.00,,,,,,,,,,
392,,,,,,,,,5602.10.00,,,,,,,,,,
393,,,,,,,,,5602.10.00,,,,,,,,,,
394,,,,,,,,,5602.10.00,,,,,,,,,,
395,,,,,,,,,5602.10.00,,,,,,,,,,
396,,,,,,,,,5602.10.00,,,,,,,,,,
397,,,,,,,,,5602.10.00,,,,,,,,,,
398,,,,,,,,,5602.10.00,,,,,,,,,,
399,,,,,,,,,5602.10.00,,,,,,,,,,
400,,,,,,,,,5602.10.00,,,,,,,,,,
401,,,,,,,,,5602.10.00,,,,,,,,,,
402,,,,,,,,,5602.10.00,,,,,,,,,,
403,,,,,,,,,5602.10.00,,,,,,,,,,
404,,,,,,,,,5602.10.00,,,,,,,,,,
405,,,,,,,,,5602.10.00,,,,,,,,,,
406,,,,,,,,,5602.10.00,,,,,,,,,,
407,,,,,,,,,5602.10.00,,,,,,,,,,
408,,,,,,,,,5602.10.00,,,,,,,,,,
409,,,,,,,,,5602.10.00,,,,,,,,,,
410,,,,,,,,,5602.10.00,,,,,,,,,,
411,,,,,,,,,5602.10.00,,,,,,,,,,
412,,,,,,,,,5602.10.00,,,,,,,,,,
413,,,,,,,,,5602.10.00,,,,,,,,,,
414,,,,,,,,,5602.10.00,,,,,,,,,,
415,,,,,,,,,5602.10.00,,,,,,,,,,
416,,,,,,,,,5602.10.00,,,,,,,,,,
417,,,,,,,,,5602.10.00,,,,,,,,,,
418,,,,,,,,,5602.10.00,,,,,,,,,,
419,,,,,,,,,5602.10.00,,,,,,,,,,
420,,,,,,,,,5602.10.00,,,,,,,,,,
421,,,,,,,,,5602.10.00,,,,,,,,,,
422,,,,,,,,,5602.10.00,,,,,,,,,,
423,,,,,,,,,5602.10.00,,,,,,,,,,
