SN,Product Name,Image Link,Photo,"Product label
(3-5 Characters)",Category Name,Processes,"Weight 
(gm)","Cost Price
(Nrs)",HS CODE,Description,"Variations
Color Code",Tags,Product Image Website Link,"Product_image
(Drive Link)",Attributes,Additional Category,Occassion,Type,stock
11,Tricertops,https://www.feltandyarn.com/14289-large_default/wool-felt-triceratops-theropods-.jpg,,TRICE,--- Animals & Characters,"Wet Felting, Needling",17.00,,5602.10.00,"The collection features two distinct dinosaur types and a mix of vibrant colors. Two figures are Theropods (like a Tyrannosaurus Rex), standing on two feet with short forearms: one is a vibrant medium green with black feet, and the other is a mottled green and yellow. A third figure, also a Theropod, is a solid bright yellow and is posed in a sitting position. All three Theropods have simple, stylized features with stitched smiles and black dot eyes. The fourth figure is a Triceratops, distinguished by its four-legged stance, bright orange body, a small white horn, and a prominent white felt frill around its head.",,,https://www.feltandyarn.com/animals-and-characters/2439-31789-wool-felt-triceratops-theropods-.html#/1982-craft_supplies_design-triceratops,https://drive.google.com/drive/folders/1Y6tW5IrFoU5LDUEUdNOItSkPcfSaAwWR?usp=drive_link,Design,,,,
12,40cm Dinosaur,https://www.feltandyarn.com/17742-large_default/40cm-wool-felt-dinosaurs.jpg,,DINOS,--- Animals & Characters,"Wet Felting, Needling, Sewing",196.00,,5602.10.00,"a rounded body, four thick legs, and a long, curving neck culminating in a small head.one is a mottled dark gray and yellow-green, one is a vibrant teal blue, and one is a bright yellow with patches of dark fiber",,,https://www.feltandyarn.com/pet-toys/1738-37590-40cm-wool-felt-dinosaurs.html#/2299-craft_supplies_design-red_dinosaur,https://drive.google.com/drive/folders/1FrrWJ_75DE3tKVYvKV8GwpNjZ6i-3rAf?usp=drive_link,Design,,,,
13,25cm Dolphin,https://www.feltandyarn.com/8517-large_default/stitched-felt-blue-dolphin.jpg,,DOLPN,--- Animals & Characters,"Wet Felting, Needling, Stitching",6.00,,5602.10.00,"The body is crafted with the blue soft wool paired with a cream colored underside. It is stitched fins,  a tail and expressive eyes. The black accents on the dorsal fin and tail add contrast and depth, while visible hand-stitching.",,,https://www.feltandyarn.com/animals-and-characters/2020-18428-stitched-felt-blue-dolphin.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1MCF-_B6HRYjTwxBKYZJ2BTG4Z2cJC-5T?usp=drive_link,,,,,
14,7cm Eagle,https://www.feltandyarn.com/10619-large_default/7cm-needle-felted-eagle.jpg,,EGLE,--- Animals & Characters,"Wet Felting, Needling",5.00,,5602.10.00," The head is a solid creamy white felt, and the body is a contrasting dark brown felt. A bright yellow felt beak and small black eyes. The legs are clutching the branch.",,,https://www.feltandyarn.com/animals-and-characters/2213-23293-7cm-needle-felted-eagle.html#/389-package-15_pieces,https://drive.google.com/drive/folders/1uI9mzlEd5Snmfv_2-DVhPsxaTtvDwo2A?usp=drive_link,,,,,
15,6cm Bunny,https://www.feltandyarn.com/17796-large_default/pink-felt-easter-bunny-ornament.jpg,,BUNY,--- Animals & Characters,"Wet Felting, Needling",14.00,,5602.10.00,"The vibrant light pink body is crafted from the soft wool. A small head, upright ears and four short legs. A small black feet , fluffy white pom-pom tail. A small thread is attached on the top.",,,https://www.feltandyarn.com/easter-and-spring/1895-35650-pink-felt-easter-bunny-ornament.html#/385-package-5_pieces,https://drive.google.com/drive/folders/1Z_6cisUIvQkiGKeHtDxexEP4xpjHeRHI?usp=drive_link,,,,,
16,11cm Fairy Doll,https://www.feltandyarn.com/10741-large_default/felt-stitched-fairy-doll.jpg,,FARY,--- Animals & Characters,"Wet Felting, Needling, Stitching",5.00,,5602.10.00,"It features a tan-colored face with a simple, smiling expression achieved through small black stitched eyes and a curved mouth. The fairy has a mop of fluffy, bright yellow felt hair and a torso made from dark purple, shaggy felt. Two prominent, symmetrical bright green felt wings extend from behind the torso. The lower body is completed by two thin, braided dark legs that dangle down, each ending in a small, circular piece of dark purple felt to represent shoes.",,,https://www.feltandyarn.com/animals-and-characters/2227-23429-felt-stitched-fairy-doll.html#/389-package-15_pieces,https://drive.google.com/drive/folders/1iL1bIkIkojyNXyWnQ0epr5D_oLtHCxrf?usp=drive_link,,,,,
17,9x7cm PomPom Sheep,https://www.feltandyarn.com/15274-large_default/9x7cm-handmade-wool-felt-pompom-sheep.jpg,,POMSH,--- Animals & Characters,"Wet Felting, Needling",34.00,,5602.10.00,"The main body has a small, fluffy white pompom ball.The head and four legs are formed from solid black felt. The face is simple and charming, white eyes and black pupils.",,,https://www.feltandyarn.com/christmas/2484-34496-9x7cm-handmade-wool-felt-pompom-sheep.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1wgBEOUdi9iELCcLnL9h_B5MysZ8-SHxH?usp=drive_link,,,,,
18,7cm Fish,https://www.feltandyarn.com/17789-large_default/handmade-wool-felt-fish-eco-cat-toy.jpg,,7CMF,--- Animals & Characters,"Wet Felting, Needling, Stitching",7.00,,5602.10.00,"The body is crafted with the soft shades of pink. It features a black stitched smiling mouth, white eyes with a black pupils.",,,https://www.feltandyarn.com/pet-toys/2089-23456-handmade-wool-felt-fish-eco-cat-toy.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1kIlsXkmRsgNu4thetDiSSX-KUH60Yubf?usp=drive_link,,,,,
19,10cm Fish,https://www.feltandyarn.com/10925-large_default/10cm-aquatic-felt-fish.jpg,,10CMF,--- Animals & Characters,"Wet Felting, Needling",13.00,,5602.10.00,"The body is cut and shaped from vibrant yellow felt into a simple fish with a rounded head and a forked tail. It features teal dorsal fin, pectoral fin. The face includes a distinct red mouth , a large black and white and black stitched on above of eye. ",,,https://www.feltandyarn.com/animals-and-characters/2248-23557-10cm-aquatic-felt-fish.html#/391-package-25_pieces,https://drive.google.com/drive/folders/1hbmRXRDLGIh6pUGaa58jSYJGCM_ydxOz?usp=drive_link,,,,,
20,9cm Fish,https://www.feltandyarn.com/14216-large_default/9cm-colorful-handmade-felt-fish-toy.jpg,,9CMF,--- Animals & Characters,"Wet Felting, Needling",13.00,,5602.10.00,"The fish features a bright red face that transitions into shades of orange and yellow. Its body is made from an green felt, colorful fins. The tail and top fins are highlighted in  shades of blue and purple.",,,https://www.feltandyarn.com/animals-and-characters/2436-31762-9cm-colorful-handmade-felt-fish-toy.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1oJ0x52phqXai9Ep6dbAwofFlv95CPj7F?usp=drive_link,,,,,
21,11cm Flamingo,https://www.feltandyarn.com/10787-large_default/11cm-stitch-felt-flamingo.jpg,,11FLA,--- Animals & Characters,"Wet Felting, Stitching",5.00,,5602.10.00,"The flamingo features a light body pink with the darker pink accents for wings, hooked beak in white and black. It slender legs are also crafted from the felt.",,,https://www.feltandyarn.com/animals-and-characters/2222-23348-11cm-stitch-felt-flamingo.html#/389-package-15_pieces,https://drive.google.com/drive/folders/1CCV_HzE9YlrNMUeYCalW1RTYoGMjIF7t?usp=drive_link,,,,,
22,12cm Flamingo,https://www.feltandyarn.com/11629-large_default/wool-felt-flamingo.jpg,,12FLA,--- Animals & Characters,"Wet Felting, Stitching",12.00,,5602.10.00,"The flamingo features a peach body , hooked beak in white and black and white legs. The small eye is needled with the black felt.",,,https://www.feltandyarn.com/animals-and-characters/2308-23796-wool-felt-flamingo.html#/396-package-50_pieces,https://drive.google.com/drive/folders/1HVwCc7XlkahA0YFYzcuLsjiVh9olE-qc?usp=drive_link,,,,,
23,9cm Sheep,https://www.feltandyarn.com/17758-large_default/needle-felt-flat-sheep.jpg,,SHEP,--- Animals & Characters,Wet Felting,9.00,,5602.10.00,"The base is wet felted. It has the black embroided eye,white felt ovals for legs.",,,https://www.feltandyarn.com/animals-and-characters/1919-15367-needle-felt-flat-sheep.html#/396-package-50_pieces,https://drive.google.com/drive/folders/1SCeO8Bm1wZ5Myl6LOJ5AJmXGpboUbgqv?usp=drive_link,,,,,
24,11cm Hedgehog,https://www.feltandyarn.com/17713-large_default/wool-felt-fuzzy-hedgehog.jpg,,HEDG,--- Animals & Characters,"Wet Felting, Needling",29.00,,5602.10.00,"The body is a crafted with the soft white felt with the grey on the back. The tiny rounded ears, pinkish paws, and little feet.",,,https://www.feltandyarn.com/animals-and-characters/1824-7725-wool-felt-fuzzy-hedgehog.html#/391-package-25_pieces,https://drive.google.com/drive/folders/1g6uoiqrK1Py4cmegjsPw32Ky8iL2jCTK?usp=drive_link,,,,,
25,7cm Turtle,https://www.feltandyarn.com/17730-large_default/7cm-mini-felt-green-turtle.jpg,,TURTL,--- Animals & Characters,"Wet Felting, Needling, Stitching",15.00,,5602.10.00," The turtle's body is presented in a vibrant green hue, while its shell is a contrasting olive green, adorned with intricate hand-embroidered details in blue and yellow floss, mimicking the patterns of a natural turtle shell. ",,,https://www.feltandyarn.com/animals-and-characters/1435-7787-7cm-mini-felt-green-turtle.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1bYEYz9uEuxlDlm9rmoU58dLhsdpDOfJ6?usp=drive_link,,,,,
26,3cm Lady Bug,https://www.feltandyarn.com/17754-large_default/3cm-cute-felt-lady-bug.jpg,,3CMLA,--- Animals & Characters,"Wet Felting, Needling",3.00,,5602.10.00,"The ladybug has round red body, a black stripe down its back and black spots. It has a black head with small white acents for eye.",,,https://www.feltandyarn.com/animals-and-characters/1908-15214-3cm-cute-felt-lady-bug.html#/396-package-50_pieces,https://drive.google.com/drive/folders/10dQJ_tWaGRsKG19ki84CUQEtALemUS9w?usp=drive_link,,,,,
27,5cm Lady Bug,https://www.feltandyarn.com/16423-large_default/5cm-red-felt-ladybug.jpg,,5CMLA,--- Animals & Characters,"Wet Felting, Needling",14.00,,5602.10.00,"The ladybug has round red body, a black stripe down its back and black spots. It has a black head with small white acents for eye.",,,https://www.feltandyarn.com/animals-and-characters/2511-34933-5cm-red-felt-ladybug.html#/388-package-10_pieces,https://drive.google.com/drive/folders/10dQJ_tWaGRsKG19ki84CUQEtALemUS9w?usp=drive_link,,,,,
28,8cm Crab,https://www.feltandyarn.com/7602-large_default/mini-felt-crab.jpg,,CRAB,--- Animals & Characters,"Wet Felting, Needling",8.00,,5602.10.00,"The main body is crafted with the red soft wool. It has the two claw, and six leg stitched on the main body. It featues a black eyes and a smiling black mouth. ",,,https://www.feltandyarn.com/animals-and-characters/1950-16029-mini-felt-crab.html#/391-package-25_pieces,https://drive.google.com/drive/folders/1fhH5r6Ci4Bx1dnE5q6ltVhWSjaAIRfYn?usp=drive_link,,,,,
29,5cm Monarch Butterfly,https://www.feltandyarn.com/17778-large_default/5cm-monarch-felt-butterfly.jpg,,BUTR,--- Animals & Characters,"Wet Felting, Needling",7.00,,5602.10.00,The monarch butterfly has a vibrant orange wings with black borders and black vein. Small white spots are placed along the black edges of the wings. The body of the butterfly is crafted from the black wool with te antennae.,,,https://www.feltandyarn.com/animals-and-characters/2067-18928-5cm-monarch-felt-butterfly.html#/390-package-20_pieces,https://drive.google.com/drive/folders/1N8AQ6dpnBfF1yYXagIz_VHFBe1PmPZCQ?usp=drive_link,,,,,
30,5cm Monkey Head,https://www.feltandyarn.com/16083-large_default/handmade-felt-monkey-head.jpg,,MNKY,--- Animals & Characters,"Wet Felting, Needling, Stitching, Sewing",14.00,,5602.10.00,"The monkey head is crafted with the soft brown wool. It has the design like felt ball. The face has two outer ears swed on the head. It featues a black eye, nose and white smiling stitched mouth.",,,https://www.feltandyarn.com/animals-and-characters/2527-35188-handmade-felt-monkey-head.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1ObAbL2yJVh6f2ef60EdsObvwu8IuyMet?usp=drive_link,,,,,
31,8cm Pig with Napkin,https://www.feltandyarn.com/10710-large_default/8cm-needle-felt-pig-with-napkin.jpg,,PIGNP,--- Animals & Characters,Wet Felting,1.00,,5602.10.00,"The pig has the rounded body, small ears and a snout. It featues a black eyes, nose and black mouth with tiny red tounge peeking out. A small white napkin tied around the neck.",,,https://www.feltandyarn.com/animals-and-characters/2223-23353-8cm-needle-felt-pig-with-napkin.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1aaLGjhOaLV68dxiGEsnP-XRFEgaCh76S?usp=drive_link,,,,,
32,5cm Pig with Bunny Ears,https://www.feltandyarn.com/10695-large_default/5cm-bunny-ear-felt-pig.jpg,,PIGBU,--- Animals & Characters,"Wet Felting, Needling",6.00,,5602.10.00,"The cute pink is handcrafted from the soft wool. It is shaped  into small seated with rounded arms and legs. It has small black stitched eyes , darker pink snout. ",,,https://www.feltandyarn.com/animals-and-characters/2221-23343-5cm-bunny-ear-felt-pig.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1J_3yltJXLGXagqxhrb0rIxsD1GqbBu8L?usp=drive_link,,,,,
33,5cm Pig ,https://www.feltandyarn.com/10630-large_default/5cm-needle-felted-pig.jpg,,PIG,--- Animals & Characters,"Wet Felting, Needling",8.00,,5602.10.00,"The pig's face features a black snout with the small nostrils, tiny black bead-like eyes and a small pink blush mark on the cheek. It has small, simple ears and a little coiled tail.",,,https://www.feltandyarn.com/animals-and-characters/2214-23298-5cm-needle-felted-pig.html#/389-package-15_pieces,https://drive.google.com/drive/folders/1ji98MMUvJaP-bHnpbstCPmMPhc4OyYed?usp=drive_link,,,,,
34,11cm Polar Bear,https://www.feltandyarn.com/11639-large_default/11cm-cute-christmas-felt-polar-bear.jpg,,11POL,--- Animals & Characters,"Wet Felting, Needling",30.00,,5602.10.00,"It is created using a wet felted technique with wool. It features a white polar bear smiling face, small ears. wearing a small blue scarf.",,,https://www.feltandyarn.com/animals-and-characters/2310-23801-11cm-cute-christmas-felt-polar-bear.html#/391-package-25_pieces,https://drive.google.com/drive/folders/1Kw4fsmnenSnDkd72xx5TvicT9RXRcYCa?usp=drive_link,,,,,
35,10cm Puffin,https://www.feltandyarn.com/16436-large_default/10cm-felt-puffin-ornament.jpg,,PUFFN,--- Animals & Characters,"Wet Felting, Needling",36.00,,5602.10.00,The design has a plump white body constrasted with black wings and head. It has beak in beautifully detailed in bright and yellow tone.Small orange feet and finely stitched eyes .,,,https://www.feltandyarn.com/animals-and-characters/2480-34282-10cm-felt-puffin-ornament.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1zJad9HqN1h1ZBov_lEQ_tQHYaRsfoFWE?usp=drive_link,,,,,
36,8cm Sheep,https://www.feltandyarn.com/11734-large_default/8cm-needle-felted-sheep.jpg,,8CMSH,--- Animals & Characters,"Wet Felting, Needling",27.00,,5602.10.00,"The sheep has the fluffy solid light color textured body. It has the black needled with face ,eyes,ears and legs.",,,https://www.feltandyarn.com/animals-and-characters/2326-31438-8cm-needle-felted-sheep.html#/870-color-cream_46,https://drive.google.com/drive/folders/1MLb35JCj_vQUDDKmM1O3gDDe-6rga6d7?usp=drive_link,,,,,
37,8cm Sheet Plain Butterfly,https://www.feltandyarn.com/10687-large_default/8cm-felt-sheet-plain-butterfly.jpg,,SHBUT,--- Animals & Characters,Wet Felting,4.00,,5602.10.00,"The four petal butterfly shape with soft, rounded edges. ",,,https://www.feltandyarn.com/animals-and-characters/2220-23326-8cm-felt-sheet-plain-butterfly.html#/391-package-25_pieces,https://drive.google.com/drive/folders/1-tFlC5cpZ9HJTOY5N1_6YgVBnTj4c_2G?usp=drive_link,,,,,
38,5cm Sloth,https://www.feltandyarn.com/17031-large_default/handmade-felt-sloth-ornament.jpg,,SLOTH,--- Animals & Characters,"Wet Felting, Needling, Sewing",24.00,,5602.10.00,"The sloth has a soft, fuzzy texture with a mottled dark brown body and a characteristic white face featuring the black ""mask"" pattern around its large, dark eyes. It is depicted in a hanging posture, clutching a small felt-covered branch with dark brown wood and simple dark green felt leaves.",,,https://www.feltandyarn.com/animals-and-characters/2565-36439-handmade-felt-sloth-ornament.html#/496-package-3_pieces,https://drive.google.com/drive/folders/1-dLpjnebygdLrAH1zAV_AJ8uUT9J6LV5?usp=drive_link,,--- Seasonal Ornaments,,,
39,Snail,https://www.feltandyarn.com/17767-large_default/7cm-wool-felt-snail.jpg,,SNAL,--- Animals & Characters,Wet Felting,6.00,,5602.10.00,"Snail features a simple, curved light brown body and it topped with a round shell made of vibrant teal felt. The shell are distinctly textured, apearning to be layered.",,,https://www.feltandyarn.com/animals-and-characters/2022-18436-7cm-wool-felt-snail.html#/393-package-35_pieces,https://drive.google.com/drive/folders/1qM-y3_UusEMcyRkC8ShRx_CEB0KDyuks?usp=drive_link,,,,,
40,7cm Snail,https://www.feltandyarn.com/13968-large_default/buy-bulk-needle-felted-wool-snail.jpg,,7SNAL,--- Animals & Characters,"Wet Felting, Needling",8.00,,5602.10.00,"The base is crafted with the soft wool. The main body and spiral  shell is sewed together. It has the black needled eyes,",,,https://www.feltandyarn.com/animals-and-characters/2420-31057-buy-bulk-needle-felted-wool-snail.html#/391-package-25_pieces,https://drive.google.com/drive/folders/1Ffnju8f7NmZjK7UAuQmTidpDcI1jLGiP?usp=drive_link,,,,,
41,7cm Mermaid,https://www.feltandyarn.com/17723-large_default/7cm-stitched-felt-green-mini-mermaid.jpg,,MERMD,--- Animals & Characters,"Wet Felting, Needling",15.00,,5602.10.00,"The design features a stylized mermaid with a peach colored torso and face, green tail and teal colored head and fin. It is decorated with light blue stitching, chevron pattern on the tail and V-shapes for eyes.",,,https://www.feltandyarn.com/animals-and-characters/1433-7777-7cm-stitched-felt-green-mini-mermaid.html#/388-package-10_pieces,https://drive.google.com/drive/folders/1OpVRO4ttewvPAUpnfvxv2GDTCyLmVILC?usp=drive_link,,,,,
42,10cm Unicorn,https://www.feltandyarn.com/6252-large_default/10cm-felt-unicorn.jpg,,UNCRN,--- Animals & Characters,"Wet Felting, Needling",17.00,,5602.10.00,The design a white body and multi-colored mane and tail in shades of teal and yellow. A single horn on its head. It has a small black eyes needled.,,,https://www.feltandyarn.com/animals-and-characters/1788-34824-10cm-felt-unicorn.html#/2104-craft_supplies_design-blue_horn_unicorn,https://drive.google.com/drive/folders/1VASeecAIQHeQndjACTf4k1gxHcfmkmz6?usp=drive_link,,,,,
43,5cm Whale,https://www.feltandyarn.com/17773-large_default/needle-felted-whale.jpg,,WHAL,--- Animals & Characters,"Wet Felting, Needling",15.00,,5602.10.00,"It is crafted with the soft wool. It has the whale with a rounded, dark blue body and a white underside that extends to the chin. It has small, simple black eyes, and a small fin on each side.",,,https://www.feltandyarn.com/animals-and-characters/2033-18534-needle-felted-whale.html#/390-package-20_pieces,https://drive.google.com/drive/folders/1GFnycMxp_TDo0ibvietWhQ64RKYAH0h9?usp=drive_link,,,,,
44,7cm Llama,https://www.feltandyarn.com/17733-large_default/7x4cm-white-felt-llama.jpg,,LLAMA,--- Animals & Characters,"Wet Felting, Needling",10.00,,5602.10.00,"The design features a llama with a long neck, small rounded ears. It has charming face with smile. A red and blue blanket geographic patterns is wrapped around its midsection.",,,https://www.feltandyarn.com/animals-and-characters/1469-7806-7x4cm-white-felt-llama.html#/391-package-25_pieces,https://drive.google.com/drive/folders/1YhhXZdX4zOpXknr3f-sMHvNy_fTICX3Y?usp=drive_link,,,,,
45,8cm Wool Sheep,https://www.feltandyarn.com/16907-large_default/tiny-wool-felted-sheep-ornament.jpg,,WOLSH,--- Animals & Characters,"Wet Felting, Needling",16.00,,5602.10.00,"The sheep's body is crafted from wet felting. Its small beige face, ears, and legs are neatly needle-felted. ",,,https://www.feltandyarn.com/christmas/2556-36188-tiny-wool-felted-sheep-ornament.html#/2245-craft_supplies_design-blue_tiny_sheep,https://drive.google.com/drive/folders/1fPy383kz1zZxSi-hEAgHYaDqqyksYpBg?usp=drive_link,,,,,
46,10cm Wooly Sheep,https://www.feltandyarn.com/16906-large_default/christmas-wooly-felt-sheep-ornament.jpg,,WOLYS,--- Animals & Characters,"Wet Felting, Needling",39.00,,5602.10.00,"The sheep features a large, rounded body has different tones. It has the white eyes , black pupils, and black legs.",,,https://www.feltandyarn.com/christmas/2557-36196-christmas-wooly-felt-sheep-ornament.html#/2253-craft_supplies_design-brown_wooly_sheep,https://drive.google.com/drive/folders/1cHVTUz-x4J8ANQ799Y1XG1WT4ymmCTE1?usp=drive_link,Base color,,,,
47,7cm Chick,https://www.feltandyarn.com/17740-large_default/7cm-yellow-felt-chick.jpg,,CHICK,--- Animals & Characters,"Wet Felting, Needling",13.00,,5602.10.00,The chicks has the rounded body and tiny wings with the orange beak and feet. Their small black eyes are needled felted.,,,https://www.feltandyarn.com/animals-and-characters/1723-21092-7cm-yellow-felt-chick.html#/389-package-15_pieces,https://drive.google.com/drive/folders/1S5HB7ykvLumFbTe-8pY-F9hp75qpGTIg?usp=drive_link,,,,,
48,Woodland Animals,https://www.feltandyarn.com/9074-large_default/handcrafted-felt-woodland-animals-set.jpg,,WOOD,--- Animals & Characters,"Wet Felting, Needling",4.00,,5602.10.00,"The set of six small, handcrafted felt animals designed to resemble stylized woodland animal faces. Each face is simply constructed from multiple layers of felt with minimal embroidered. The set includes the bear, hedgehog, owl,rabbit,fox and deer.",,,https://www.feltandyarn.com/animals-and-characters/2073-34778-handcrafted-felt-woodland-animals-set.html#/386-package-6_pieces/2095-craft_supplies_design-owl,https://drive.google.com/drive/folders/19Sa72GjlkgahqOv4GrRsBYOaKO_rCu-R?usp=drive_link,,,,,
49,7cm Orange Bear,https://www.feltandyarn.com/2932-large_default/7-8-cm-orange-felt-bear.jpg,,7BEAR,--- Animals & Characters,"Wet Felting, Needling, Stitching",15.00,,5602.10.00,"The small, hand-stitched teddy bear made from orange felt material. It edges of body are visible stitched with the matching orange felt. The bear has a simple black and white bead eyes and embroided brown nose and mouth area. The circular patch of darker orange felt is stitched onto the belly, detailed with the simple green stem and blue and white flower. It has the length of 7cm and width of 2cm.",,,https://www.feltandyarn.com/animals-and-characters/1422-12542-7-8-cm-orange-felt-bear.html#/390-package-20_pieces,,,,,,
